Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
5	:	1597251660.505	     8.453	0	0	0	0	molpro -t 1  pts/inp/job.0000002695.inp --no-xml-output
1	:	1597251660.424	     9.207	0	0	0	0	molpro -t 1  pts/inp/job.0000002689.inp --no-xml-output
8	:	1597251660.972	     9.177	0	0	0	0	molpro -t 1  pts/inp/job.0000002699.inp --no-xml-output
3	:	1597251660.463	    10.125	0	0	0	0	molpro -t 1  pts/inp/job.0000002692.inp --no-xml-output
2	:	1597251660.444	    11.816	0	0	0	0	molpro -t 1  pts/inp/job.0000002691.inp --no-xml-output
7	:	1597251660.952	    11.331	0	0	0	0	molpro -t 1  pts/inp/job.0000002698.inp --no-xml-output
6	:	1597251660.932	    11.504	0	0	0	0	molpro -t 1  pts/inp/job.0000002697.inp --no-xml-output
4	:	1597251660.484	    12.312	0	0	0	0	molpro -t 1  pts/inp/job.0000002694.inp --no-xml-output
10	:	1597251669.652	     9.210	0	0	0	0	molpro -t 1  pts/inp/job.0000002701.inp --no-xml-output
9	:	1597251668.981	     9.947	0	0	0	0	molpro -t 1  pts/inp/job.0000002700.inp --no-xml-output
11	:	1597251670.170	     9.622	0	0	0	0	molpro -t 1  pts/inp/job.0000002702.inp --no-xml-output
12	:	1597251670.609	     9.712	0	0	0	0	molpro -t 1  pts/inp/job.0000002703.inp --no-xml-output
13	:	1597251672.282	     8.563	0	0	0	0	molpro -t 1  pts/inp/job.0000002704.inp --no-xml-output
14	:	1597251672.302	     9.142	0	0	0	0	molpro -t 1  pts/inp/job.0000002705.inp --no-xml-output
16	:	1597251672.817	     9.104	0	0	0	0	molpro -t 1  pts/inp/job.0000002707.inp --no-xml-output
15	:	1597251672.457	    10.925	0	0	0	0	molpro -t 1  pts/inp/job.0000002706.inp --no-xml-output
17	:	1597251678.883	     9.143	0	0	0	0	molpro -t 1  pts/inp/job.0000002708.inp --no-xml-output
18	:	1597251678.949	     9.376	0	0	0	0	molpro -t 1  pts/inp/job.0000002709.inp --no-xml-output
19	:	1597251679.814	     9.917	0	0	0	0	molpro -t 1  pts/inp/job.0000002710.inp --no-xml-output
20	:	1597251680.342	     9.523	0	0	0	0	molpro -t 1  pts/inp/job.0000002711.inp --no-xml-output
22	:	1597251681.466	     9.825	0	0	0	0	molpro -t 1  pts/inp/job.0000002713.inp --no-xml-output
21	:	1597251680.867	    10.508	0	0	0	0	molpro -t 1  pts/inp/job.0000002712.inp --no-xml-output
23	:	1597251681.942	     9.972	0	0	0	0	molpro -t 1  pts/inp/job.0000002714.inp --no-xml-output
24	:	1597251683.405	    10.010	0	0	0	0	molpro -t 1  pts/inp/job.0000002716.inp --no-xml-output
25	:	1597251688.048	     8.697	0	0	0	0	molpro -t 1  pts/inp/job.0000002717.inp --no-xml-output
26	:	1597251688.345	     8.964	0	0	0	0	molpro -t 1  pts/inp/job.0000002719.inp --no-xml-output
27	:	1597251689.752	     7.976	0	0	0	0	molpro -t 1  pts/inp/job.0000002720.inp --no-xml-output
28	:	1597251689.887	     8.253	0	0	0	0	molpro -t 1  pts/inp/job.0000002722.inp --no-xml-output
29	:	1597251691.314	     7.813	0	0	0	0	molpro -t 1  pts/inp/job.0000002723.inp --no-xml-output
30	:	1597251691.398	     8.546	0	0	0	0	molpro -t 1  pts/inp/job.0000002725.inp --no-xml-output
31	:	1597251691.934	     9.430	0	0	0	0	molpro -t 1  pts/inp/job.0000002726.inp --no-xml-output
32	:	1597251693.436	     9.125	0	0	0	0	molpro -t 1  pts/inp/job.0000002728.inp --no-xml-output
33	:	1597251696.768	     8.127	0	0	0	0	molpro -t 1  pts/inp/job.0000002729.inp --no-xml-output
35	:	1597251697.758	     8.585	0	0	0	0	molpro -t 1  pts/inp/job.0000002732.inp --no-xml-output
36	:	1597251698.162	     8.450	0	0	0	0	molpro -t 1  pts/inp/job.0000002734.inp --no-xml-output
34	:	1597251697.331	     9.700	0	0	0	0	molpro -t 1  pts/inp/job.0000002731.inp --no-xml-output
37	:	1597251699.148	     8.905	0	0	0	0	molpro -t 1  pts/inp/job.0000002735.inp --no-xml-output
38	:	1597251699.966	     8.493	0	0	0	0	molpro -t 1  pts/inp/job.0000002737.inp --no-xml-output
39	:	1597251701.387	     9.865	0	0	0	0	molpro -t 1  pts/inp/job.0000002738.inp --no-xml-output
41	:	1597251704.915	     7.246	0	0	0	0	molpro -t 1  pts/inp/job.0000002741.inp --no-xml-output
40	:	1597251702.582	    11.562	0	0	0	0	molpro -t 1  pts/inp/job.0000002740.inp --no-xml-output
42	:	1597251706.365	     9.105	0	0	0	0	molpro -t 1  pts/inp/job.0000002743.inp --no-xml-output
44	:	1597251707.053	    10.406	0	0	0	0	molpro -t 1  pts/inp/job.0000002746.inp --no-xml-output
45	:	1597251708.075	    10.345	0	0	0	0	molpro -t 1  pts/inp/job.0000002747.inp --no-xml-output
43	:	1597251706.633	    12.192	0	0	0	0	molpro -t 1  pts/inp/job.0000002744.inp --no-xml-output
46	:	1597251708.482	    10.363	0	0	0	0	molpro -t 1  pts/inp/job.0000002749.inp --no-xml-output
48	:	1597251712.183	     8.481	0	0	0	0	molpro -t 1  pts/inp/job.0000002753.inp --no-xml-output
47	:	1597251711.275	    10.671	0	0	0	0	molpro -t 1  pts/inp/job.0000002750.inp --no-xml-output
49	:	1597251714.166	     8.899	0	0	0	0	molpro -t 1  pts/inp/job.0000002754.inp --no-xml-output
50	:	1597251715.494	     8.855	0	0	0	0	molpro -t 1  pts/inp/job.0000002757.inp --no-xml-output
51	:	1597251717.479	     9.616	0	0	0	0	molpro -t 1  pts/inp/job.0000002758.inp --no-xml-output
54	:	1597251718.868	    10.131	0	0	0	0	molpro -t 1  pts/inp/job.0000002763.inp --no-xml-output
52	:	1597251718.442	    11.450	0	0	0	0	molpro -t 1  pts/inp/job.0000002760.inp --no-xml-output
53	:	1597251718.845	    11.358	0	0	0	0	molpro -t 1  pts/inp/job.0000002761.inp --no-xml-output
55	:	1597251720.686	    11.467	0	0	0	0	molpro -t 1  pts/inp/job.0000002764.inp --no-xml-output
57	:	1597251723.085	    10.516	0	0	0	0	molpro -t 1  pts/inp/job.0000002767.inp --no-xml-output
56	:	1597251721.967	    11.773	0	0	0	0	molpro -t 1  pts/inp/job.0000002766.inp --no-xml-output
58	:	1597251724.371	     9.743	0	0	0	0	molpro -t 1  pts/inp/job.0000002769.inp --no-xml-output
59	:	1597251727.120	     7.516	0	0	0	0	molpro -t 1  pts/inp/job.0000002770.inp --no-xml-output
60	:	1597251729.019	     7.292	0	0	0	0	molpro -t 1  pts/inp/job.0000002771.inp --no-xml-output
62	:	1597251730.226	     6.819	0	0	0	0	molpro -t 1  pts/inp/job.0000002773.inp --no-xml-output
61	:	1597251729.914	     7.335	0	0	0	0	molpro -t 1  pts/inp/job.0000002772.inp --no-xml-output
63	:	1597251732.174	     5.887	0	0	0	0	molpro -t 1  pts/inp/job.0000002774.inp --no-xml-output
64	:	1597251733.624	     5.432	0	0	0	0	molpro -t 1  pts/inp/job.0000002775.inp --no-xml-output
